Episode_Length_minutes,Host_Popularity_percentage,Publication_Day,Publication_Time,Guest_Popularity_percentage,Number_of_Ads,Episode_Sentiment
78.96,38.11,Saturday,Evening,53.33,1.0,Neutral
27.87,71.29,Sunday,Morning,,0.0,Neutral
69.1,67.89,Friday,Evening,97.51,0.0,Positive
115.39,23.4,Sunday,Morning,51.75,2.0,Positive
72.32,58.1,Wednesday,Morning,11.3,2.0,Neutral
34.44,77.18,Sunday,Night,,0.0,Neutral
116.09,27.57,Friday,Night,22.82,1.0,Positive
54.59,94.86,Tuesday,Morning,94.76,1.0,Neutral
92.69,75.22,Friday,Night,72.63,0.0,Neutral
100.65,27.66,Tuesday,Evening,,1.0,Negative
23.2,32.2,Saturday,Evening,20.21,2.0,Neutral
34.44,47.55,Thursday,Night,46.03,0.0,Positive
49.86,57.37,Saturday,Morning,,2.0,Negative
,87.76,Tuesday,Morning,,1.0,Negative
71.15,70.6,Thursday,Morning,32.7,3.0,Positive
87.02,86.21,Wednesday,Afternoon,67.42,3.0,Negative
,63.87,Wednesday,Evening,86.45,0.0,Positive
47.97,57.62,Friday,Morning,38.9,1.0,Positive
88.96,52.81,Saturday,Afternoon,43.81,2.0,Neutral
59.49,35.98,Monday,Evening,,0.0,Neutral
52.03,79.63,Tuesday,Morning,53.09,0.0,Neutral
81.57,57.06,Friday,Night,73.91,0.0,Negative
102.69,25.4,Wednesday,Night,45.51,0.0,Positive
42.47,61.42,Sunday,Evening,94.99,0.0,Positive
71.62,89.12,Monday,Night,93.84,0.0,Positive
,60.75,Sunday,Night,,0.0,Neutral
19.77,35.53,Monday,Afternoon,,3.0,Neutral
39.36,62.94,Friday,Evening,54.59,2.0,Positive
,29.37,Monday,Morning,66.32,3.0,Negative
,26.98,Tuesday,Afternoon,83.39,2.0,Neutral
51.81,50.4,Tuesday,Evening,91.26,0.0,Positive
54.32,27.61,Sunday,Afternoon,63.73,2.0,Negative
20.87,49.83,Thursday,Morning,88.3,2.0,Positive
86.22,63.64,Sunday,Night,43.09,2.0,Negative
33.85,29.35,Wednesday,Night,41.27,0.0,Positive
30.56,33.07,Friday,Evening,,0.0,Positive
22.43,49.32,Friday,Night,6.17,1.0,Neutral
49.64,96.03,Thursday,Morning,17.81,0.0,Positive
36.82,21.95,Wednesday,Night,95.37,2.0,Positive
36.37,40.32,Saturday,Night,52.52,0.0,Neutral
25.43,36.51,Wednesday,Morning,,3.0,Positive
115.79,42.68,Monday,Evening,18.25,0.0,Neutral
101.29,28.24,Sunday,Evening,,3.0,Positive
88.29,91.29,Saturday,Night,69.72,0.0,Positive
71.47,35.22,Friday,Night,43.69,0.0,Negative
29.39,49.81,Friday,Night,,0.0,Positive
23.75,56.83,Thursday,Night,,3.0,Positive
79.27,50.28,Sunday,Afternoon,0.05,3.0,Negative
25.84,75.58,Sunday,Evening,,2.0,Neutral
13.56,80.81,Thursday,Night,37.78,3.0,Negative
117.75,67.78,Sunday,Afternoon,34.75,2.0,Positive
